index,symbol,company,earning_dates,eps_estimates,eps_reported,surprise_percent
130,ABT,Abbott Laboratories,"Jan 29, 2015, 2 AMEST",0.68,0.71,3.95
131,ABT,Abbott Laboratories,"Oct 22, 2014, 3 AMEDT",0.59,0.62,4.73
132,ABT,Abbott Laboratories,"Jul 16, 2014, 12 AMEDT",0.51,0.54,6.68
133,ABT,Abbott Laboratories,"Apr 16, 2014, 12 AMEDT",0.36,0.41,15.07
134,ABT,Abbott Laboratories,"Jan 22, 2014, 12 AMEST",0.58,0.58,-0.34
135,ABT,Abbott Laboratories,"Oct 16, 2013, 12 AMEDT",0.51,0.55,7.18
136,ABT,Abbott Laboratories,"Jul 17, 2013, 12 AMEDT",0.44,0.46,4.22
137,ABT,Abbott Laboratories,"Apr 17, 2013, 12 AMEDT",0.41,0.42,2.0
138,ABT,Abbott Laboratories,"Jan 23, 2013, 12 AMEST",1.5,1.51,0.94
139,ABT,Abbott Laboratories,"Oct 17, 2012, 12 AMEDT",1.28,1.3,1.38
140,ABT,Abbott Laboratories,"Jul 18, 2012, 12 AMEDT",1.22,1.23,1.08
141,ABT,Abbott Laboratories,"Apr 18, 2012, 12 AMEDT",1.0,1.03,3.23
142,ABT,Abbott Laboratories,"Jan 25, 2012, 12 AMEST",1.44,1.45,0.97
143,ABT,Abbott Laboratories,"Oct 19, 2011, 12 AMEDT",1.17,1.18,0.85
144,ABT,Abbott Laboratories,"Jul 20, 2011, 12 AMEDT",1.11,1.12,0.85
145,ABT,Abbott Laboratories,"Apr 20, 2011, 12 AMEDT",0.9,0.91,0.74
146,ABT,Abbott Laboratories,"Jan 26, 2011, 12 AMEST",1.29,1.3,0.78
147,ABT,Abbott Laboratories,"Oct 20, 2010, 12 AMEDT",1.04,1.05,0.79
148,ABT,Abbott Laboratories,"Jul 21, 2010, 12 AMEDT",1.0,1.01,1.32
149,ABT,Abbott Laboratories,"Apr 21, 2010, 12 AMEDT",0.8,0.81,1.01
150,ABT,Abbott Laboratories,"Jan 27, 2010, 12 AMEST",1.17,1.18,0.74
151,ABT,Abbott Laboratories,"Oct 14, 2009, 12 AMEDT",0.9,0.92,2.63
152,ABT,Abbott Laboratories,"Jul 15, 2009, 12 AMEDT",0.89,0.89,0.38
153,ABT,Abbott Laboratories,"Apr 15, 2009, 12 AMEDT",0.7,0.73,3.67
154,ABT,Abbott Laboratories,"Jan 21, 2009, 12 AMEST",1.06,1.06,-0.09
155,ABT,Abbott Laboratories,"Oct 15, 2008, 12 AMEDT",0.77,0.79,2.03
156,ABT,Abbott Laboratories,"Jul 16, 2008, 12 AMEDT",0.79,0.84,6.85
157,ABT,Abbott Laboratories,"Apr 16, 2008, 12 AMEDT",0.62,0.63,1.36
158,ABT,Abbott Laboratories,"Jan 23, 2008, 12 AMEST",0.92,0.93,1.26
159,ABT,Abbott Laboratories,"Oct 17, 2007, 12 AMEDT",0.66,0.67,1.28
160,ABT,Abbott Laboratories,"Jul 18, 2007, 12 AMEDT",0.68,0.69,2.07
161,ABT,Abbott Laboratories,"Apr 18, 2007, 12 AMEDT",0.52,0.55,4.93
162,ABT,Abbott Laboratories,"Jan 24, 2007, 12 AMEST",0.74,0.75,0.92
163,ABT,Abbott Laboratories,"Oct 18, 2006, 12 AMEDT",0.58,0.58,-0.22
164,ABT,Abbott Laboratories,"Jul 19, 2006, 12 AMEDT",0.57,0.62,8.64
165,ABT,Abbott Laboratories,"Apr 19, 2006, 12 AMEDT",0.57,0.57,-0.27
166,ABT,Abbott Laboratories,"Jan 25, 2006, 12 AMEST",0.76,0.76,0.3
167,ABT,Abbott Laboratories,"Oct 19, 2005, 12 AMEDT",0.58,0.58,0.62
